pH,N,P,K,OM,moisture,temp,rain,density,chlorate,yield
6.6,34,31,136,2.2,61,28.4,1235,56,1.9,1056
5.4,60,36,122,0.6,72,26.9,706,62,8.0,926
6.6,57,11,185,3.2,77,31.5,1789,53,10.0,1106
5.2,73,13,199,2.2,55,23.8,1669,30,3.4,1094
5.1,71,42,176,0.8,76,25.2,819,46,0.3,799
6.1,57,26,173,2.9,69,27.5,1473,51,8.0,1230
5.3,73,21,140,4.1,52,24.0,1567,54,4.9,1015
6.6,54,30,112,3.6,33,30.8,1663,43,14.0,1024
6.5,48,10,93,2.1,33,31.9,939,26,10.0,853
5.2,75,33,187,2.2,71,25.2,1791,48,12.5,1076
5.1,16,13,184,2.9,41,31.6,1431,56,0.1,831
5.7,76,28,215,4.3,70,27.1,1575,60,0.8,998
6.8,51,37,135,3.9,52,30.2,865,36,13.2,1143
5.8,24,21,107,1.3,75,31.9,884,33,9.0,836
4.6,22,12,181,1.8,74,25.7,1616,38,12.3,1010
5.1,77,15,122,3.0,39,26.0,1325,45,7.4,1162
4.8,35,33,97,1.3,74,28.6,1526,20,10.8,749
6.9,76,19,180,2.1,65,26.3,1584,65,3.6,1023
7.2,56,9,92,3.8,74,27.7,898,23,8.0,854
6.2,32,27,149,1.0,34,24.1,852,55,4.9,798
6.7,28,25,258,1.2,37,28.0,1366,43,2.2,1104
6.4,47,22,265,3.4,55,24.1,890,71,4.1,1240
6.0,71,10,190,3.5,34,29.9,998,51,3.5,1127
6.2,72,23,147,1.4,60,24.3,1818,53,7.7,1084
5.1,64,8,128,2.8,48,23.9,1538,71,7.8,997
5.0,83,34,163,0.8,62,30.3,1265,34,7.9,1024
5.1,62,18,183,0.8,70,29.8,1189,32,1.3,845
5.7,32,37,223,2.6,57,28.0,1135,71,5.3,1271
4.9,38,25,171,1.6,49,28.0,761,57,9.5,1105
6.0,17,19,161,1.5,39,24.1,1761,65,5.5,900
6.8,83,33,197,4.2,62,32.1,1457,65,0.8,1084
4.8,53,26,138,2.2,50,30.5,962,36,2.5,929
6.1,16,15,216,3.7,43,31.0,1168,42,12.6,1210
4.6,36,17,111,2.8,44,27.7,950,44,13.3,1038
6.6,73,21,102,2.7,52,28.4,1024,41,12.9,1224
4.9,50,42,266,4.2,74,30.6,1054,31,8.3,1130
7.3,15,37,255,1.1,57,25.5,1489,71,10.6,1043
5.2,60,8,222,4.4,50,23.6,1428,58,9.9,1304
7.2,77,30,261,4.6,60,27.5,1172,38,10.7,1465
6.8,26,8,114,0.7,36,28.3,671,67,5.8,793
5.2,84,9,94,3.4,65,24.1,1294,43,13.1,1156
6.0,51,28,239,4.1,71,25.3,866,29,14.7,1248
7.1,74,23,242,3.2,42,26.8,1216,31,2.5,1031
6.8,84,37,164,3.1,52,30.0,1476,58,10.0,1119
4.7,60,34,225,3.9,63,24.9,1418,55,3.4,1218
7.0,19,36,250,1.8,57,23.7,1495,25,11.1,1072
5.6,67,18,132,4.3,68,31.9,1812,51,4.0,1009
7.3,83,21,197,4.1,33,26.9,1424,23,8.0,1175
4.7,31,8,191,3.3,63,27.4,1352,37,3.5,1067
5.0,57,40,139,2.0,56,30.4,794,33,3.1,1014
5.2,69,15,212,2.3,73,26.7,1794,53,4.0,1070
6.9,72,36,106,1.4,78,23.6,1063,63,1.6,653
6.3,28,13,105,2.6,69,25.4,910,25,0.1,812
5.5,61,28,115,2.1,56,27.4,667,43,11.8,1164
7.0,49,16,215,3.0,55,30.1,1149,58,3.8,1176
6.4,66,14,134,3.3,75,32.1,1369,39,12.6,1097
5.8,73,36,124,3.0,42,28.0,789,70,3.6,948
7.2,67,14,157,2.0,76,30.9,1786,24,9.0,928
5.6,66,15,236,0.8,69,27.3,1294,19,7.2,1126
5.5,68,41,108,1.2,69,30.6,1799,30,14.6,898
5.9,16,34,221,3.0,72,26.5,708,72,11.0,1187
6.3,32,39,114,2.4,60,32.5,1100,58,12.9,1035
4.9,20,34,155,4.3,44,32.3,1776,50,8.0,1029
6.5,38,21,187,1.7,37,28.0,1195,59,5.5,1160
7.4,76,12,135,3.6,57,30.8,1752,66,0.8,800
6.7,19,14,223,3.3,41,26.9,1545,29,7.2,1123
6.4,39,19,235,2.4,42,31.4,1083,19,14.1,1195
7.1,25,34,173,2.0,66,28.4,816,49,14.9,1114
4.8,61,41,90,1.4,40,31.6,761,40,5.0,645
6.0,77,18,214,1.7,69,30.4,1702,36,4.1,1087
5.9,37,20,268,3.0,51,28.7,716,21,7.5,1206
6.3,16,22,205,1.7,63,28.6,1052,48,4.1,1087
5.0,16,41,153,3.3,69,28.5,1535,22,6.2,903
4.8,32,24,100,2.7,36,31.2,1366,35,6.0,762
5.7,33,16,117,2.7,61,30.4,666,71,5.5,992
7.4,53,38,122,0.8,54,31.6,741,33,1.4,743
6.5,24,21,260,0.9,43,31.1,1058,29,1.4,955
6.3,67,14,265,3.2,50,24.5,1655,39,9.2,1355
5.6,17,40,263,2.7,47,27.6,754,61,3.4,1137
5.4,59,32,104,0.9,72,28.2,1126,58,4.5,962
